The dog went for him.,a) The dog barked at him.,b) The dog attacked him.,c) The dog followed him.,b
She hadn't bargained for this.,a) She hadn't expected this.,b) She hadn't bought this.,c) She hadn't profited from this.,a
It suddenly dawned on her.,a) She suddenly turned the lights on.,b) She suddenly realised.,c) She was suddenly seen.,b
I feel for you.,a) I am fond of you.,b) I pity you.,c) I sympathise for you.,c
She got over her illness.,a) She learned from her ilness.,b) She died from her ilness.,c) She recovered from her illness.,c
The police looked into it.,a) The police didn't care about it.,b) The police ivestigated it.,c) The police looked inside it.,b
They talked it over.,a) They discussed it.,b) They talked a lot.,c) They gossiped.,a
She did up her laces.,a) She tied her laces.,b) She painted her laces.,c) She sewed her laces.,a
He called on her.,a) He telephoned her.,b) He visited her.,c) He blamed her.,b
She made for the living room.,a) She went towards the living room.,b) She paid to build the living room.,c) She decorated the living room.,a
He launched into a long speech.,a) He improvised a long speech.,b) He got lost in his long speech.,c) He began a long speech.,c
He takes after his mother.,a) He has the same profession as his mother.,b) He looks like his mother.,c) He is like his mother.,c
She came up with the solution., a) She refused the solution., b) She thought of the solution., c) She couldn't understand the solution.,b
He pointed out the mall would be closed., a) He informed the mall would be closed., a) He forgot the mall would be closed., a) He remembered the mall would be closed.,a
It was easy to find out the answer., a) It was easy to forget the answer.,b) It was easy to share the answer. ,c) It was easy to discover the answer.,c
Who's going to take on the new client?, a) Who's going to be responsible for the new client?, b) Who's going to bring the new client?, Who's going to talk to the new client?,a
When are we setting up the next meeting?, a) When are we recording the next meeting?, b) When are we arranging the next meeting?, c) When are we beginning the next meeting?,b
